nomeprocedimento,codigo
DOSAGEM DE ACIDO HIPURICO                                                                                                                             ,202070026
DOSAGEM DE ACIDO MANDELICO                                                                                                                            ,202070034
DOSAGEM DE ACIDO METIL-HIPURICO                                                                                                                       ,202070042
DOSAGEM DE ACIDO VALPROICO                                                                                                                            ,202070050
DOSAGEM DE ALA-DESIDRATASE                                                                                                                            ,202070069
DOSAGEM DE ALCOOL ETILICO                                                                                                                             ,202070077
DOSAGEM DE ALUMINIO                                                                                                                                   ,202070085
DOSAGEM DE AMINOGLICOSIDEOS                                                                                                                           ,202070093
DOSAGEM DE ANFETAMINAS                                                                                                                                ,202070107
DOSAGEM DE ANTIDEPRESSIVOS TRICICLICOS                                                                                                                ,202070115
DOSAGEM DE BARBITURATOS                                                                                                                               ,202070123
DOSAGEM DE BENZODIAZEPINICOS                                                                                                                          ,202070131
DOSAGEM DE CADMIO                                                                                                                                     ,202070140
DOSAGEM DE CARBAMAZEPINA                                                                                                                              ,202070158
DOSAGEM DE CARBOXI-HEMOGLOBINA                                                                                                                        ,202070166
DOSAGEM DE CHUMBO                                                                                                                                     ,202070174
DOSAGEM DE CICLOSPORINA                                                                                                                               ,202070182
DOSAGEM DE COBRE                                                                                                                                      ,202070190
"DOSAGEM DE DIGITALICOS (DIGOXINA, DIGITOXINA)                                                                                                         ",202070204
DOSAGEM DE ETOSSUXIMIDA                                                                                                                               ,202070212
DOSAGEM DE FENITOINA                                                                                                                                  ,202070220
DOSAGEM DE FENOL                                                                                                                                      ,202070239
DOSAGEM DE FORMALDEIDO                                                                                                                                ,202070247
DOSAGEM DE LITIO                                                                                                                                      ,202070255
DOSAGEM DE MERCURIO                                                                                                                                   ,202070263
DOSAGEM DE META-HEMOGLOBINA                                                                                                                           ,202070271
DOSAGEM DE METABOLITOS DA COCAINA                                                                                                                     ,202070280
DOSAGEM DE METOTREXATO                                                                                                                                ,202070298
DOSAGEM DE QUINIDINA                                                                                                                                  ,202070301
DOSAGEM DE SALICILATOS                                                                                                                                ,202070310
DOSAGEM DE SULFATOS                                                                                                                                   ,202070328
DOSAGEM DE TEOFILINA                                                                                                                                  ,202070336
DOSAGEM DE TIOCIANATO                                                                                                                                 ,202070344
DOSAGEM DE ZINCO                                                                                                                                      ,202070352
ANTIBIOGRAMA                                                                                                                                          ,202080013
ANTIBIOGRAMA C/ CONCENTRACAO INIBITORIA MINIMA                                                                                                        ,202080021
ANTIBIOGRAMA P/ MICOBACTERIAS                                                                                                                         ,202080030
BACILOSCOPIA DIRETA P/ BAAR TUBERCULOSE (DIAGNÓSTICA)                                                                                                 ,202080048
BACILOSCOPIA DIRETA P/ BAAR (HANSENIASE)                                                                                                              ,202080056
BACILOSCOPIA DIRETA P/ BAAR TUBERCULOS (CONTROLE)                                                                                                     ,202080064
BACTERIOSCOPIA (GRAM)                                                                                                                                 ,202080072
CULTURA DE BACTERIAS P/ IDENTIFICACAO                                                                                                                 ,202080080
CULTURA DO LEITE HUMANO (POS-PASTEURIZAÇÃO)                                                                                                           ,202080099
CULTURA P/ HERPESVIRUS                                                                                                                                ,202080102
CULTURA PARA BAAR                                                                                                                                     ,202080110
CULTURA PARA BACTERIAS ANAEROBICAS                                                                                                                    ,202080129
CULTURA PARA IDENTIFICACAO DE FUNGOS                                                                                                                  ,202080137
EXAME MICROBIOLOGICO A FRESCO (DIRETO)                                                                                                                ,202080145
HEMOCULTURA                                                                                                                                           ,202080153
IDENTIFICACAO AUTOMATIZADA DE MICROORGANISMOS                                                                                                         ,202080161
PEQUISA DE PNEUMOCYSTI CARINI                                                                                                                         ,202080170
PESQUISA DE BACILO DIFTERICO                                                                                                                          ,202080188
PESQUISA DE ESTREPTOCOCOS BETA-HEMOLITICOS DO GRUPO A                                                                                                 ,202080196
PESQUISA DE HAEMOPHILUS DUCREY                                                                                                                        ,202080200
PESQUISA DE HELICOBACTER PYLORI                                                                                                                       ,202080218
PESQUISA DE LEPTOSPIRAS                                                                                                                               ,202080226
PESQUISA DE TREPONEMA PALLIDUM                                                                                                                        ,202080234
PROVA CONFIRMATÓRIA DA PRESENÇA DE MICRO-ORGANISMOS COLIFORMES                                                                                        ,202080242
ACIDO URICO LIQUIDO NO SINOVIAL E DERRAMES                                                                                                            ,202090019
ADENOGRAMA                                                                                                                                            ,202090027
CITOLOGIA P/ CLAMIDIA                                                                                                                                 ,202090035
CITOLOGIA P/ HERPESVIRUS                                                                                                                              ,202090043
CONTAGEM ESPECIFICA DE CELULAS NO LIQUOR                                                                                                              ,202090051
CONTAGEM GLOBAL DE CELULAS NO LIQUOR                                                                                                                  ,202090060
DETERMINACAO DE FOSFOLIPIDIOS RELACAO LECITINA - ESFINGOMIELINA NO LIQUIDO AMNIOTICO                                                                  ,202090078
DOSAGEM DE CREATININA NO LIQUIDO AMNIOTICO                                                                                                            ,202090086
DOSAGEM DE FOSFATASE ALCALINA NO ESPERMA                                                                                                              ,202090094
DOSAGEM DE FRUTOSE                                                                                                                                    ,202090108
DOSAGEM DE FRUTOSE NO ESPERMA                                                                                                                         ,202090116
DOSAGEM DE GLICOSE NO LIQUIDO SINOVIAL E DERRAMES                                                                                                     ,202090124
DOSAGEM DE PROTEINAS NO LIQUIDO SINOVIAL E DERRAMES                                                                                                   ,202090132
DOSAGEM DE SODIO E CLORO NO SUOR (C/ COLETA)                                                                                                          ,202090140
ELETROFORESE DE PROTEINAS C/ CONCENTRACAO NO LIQUOR                                                                                                   ,202090159
ESPECTROFOTOMETRIA NO LIQUIDO AMNIOTICO                                                                                                               ,202090167
ESPLENOGRAMA                                                                                                                                          ,202090175
EXAME DE CARACTERES FISICOS CONTAGEM GLOBAL E ESPECIFICA DE CELULAS                                                                                   ,202090183
MIELOGRAMA                                                                                                                                            ,202090191
PESQUISA DE ANTICORPOS ANTIESPERMATOZOIDES ( ELISA )                                                                                                  ,202090213
DOSAGEM DE FOSFATASE ÁCIDA NO ESPERMA                                                                                                                 ,202090221
PESQUISA DE CARACTERES FISICOS NO LIQUOR                                                                                                              ,202090230
PESQUISA DE CELULAS ORANGIOFILAS                                                                                                                      ,202090248
PESQUISA DE CRISTAIS C/ LUZ POLARIZADA                                                                                                                ,202090256
PESQUISA DE ESPERMATOZOIDES (APOS VASECTOMIA)                                                                                                         ,202090264
PESQUISA DE RAGOCITOS NO LIQUIDO SINOVIAL E DERRAMES                                                                                                  ,202090272
PROVA DE PROGRESSAO ESPERMATICA (CADA)                                                                                                                ,202090280
"PROVA DO LATEX P/ HAEMOPHILLUS INFLUENZAE, STREPTOCOCCUS PNEUMONIAE, NEISSERIA MENINGITIDIS (SOROTIPOS A, B, C)                                       ",202090299
PROVA DO LATEX P/ PESQUISA DO FATOR REUMATOIDE                                                                                                        ,202090302
REACAO DE PANDY                                                                                                                                       ,202090310
REACAO DE RIVALTA NO LIQUIDO SINOVIAL E DERRAMES                                                                                                      ,202090329
TESTE DE CLEMENTS                                                                                                                                     ,202090337
TESTE DE GASTROACIDOGRAMA - SECRECAO BASAL POR 60 EM 4 AMOSTRAS                                                                                       ,202090345
TESTE DE HOLLANDER NO SUCO GASTRICO                                                                                                                   ,202090353
DETERMINACAO DE CARIOTIPO EM CULTURA DE LONGA DURACAO (C/ TECNICA DE BANDAS)                                                                          ,202100014
DETERMINACAO DE CARIOTIPO EM MEDULA OSSEA E VILOSIDADES CORIONICAS (C/ TECNICA DE BANDAS)                                                             ,202100022
DETERMINACAO DE CARIOTIPO EM SANGUE PERIFERICO (C/ TECNICA DE BANDAS)                                                                                 ,202100030
QUANTIFICAÇÃO/AMPLIFICAÇÃO DO HER-2                                                                                                                   ,202100049
FOCALIZAÇÃO ISOELÉTRICA DA TRANSFERRINA                                                                                                               ,202100057
ANÁLISE DE DNA PELA TÉCNICA DE SOUTHERN BLOT                                                                                                          ,202100065
ANÁLISE DE DNA POR MLPA                                                                                                                               ,202100073
"IDENTIFICAÇÃO DE MUTAÇÃO/REARRANJOS POR PCR, PCR SENSÍVEL A METILAÇÃO, qPCR E qPCR SENSÍVEL A METILAÇÃO                                               ",202100081
"FISH EM METÁFASE OU NÚCLEO INTERFÁSICO, POR DOENÇA                                                                                                    ",202100090
IDENTIFICAÇÃO DE ALTERAÇÃO CROMOSSÔNICA SUBMICROSCÓPICA POR ARRAY-CGH                                                                                 ,202100103
IDENTIFICAÇÂO DE MUTAÇÃO POR SEQUENCIAMENTO POR AMPLICON ATÉ 500 PARES DE BASES                                                                       ,202100111
"IDENTIFICAÇÃO DE GLICOSAMINOGLICANOS URINÁRIOS POR CROMATOGRAFIA EM CAMADA DELGADA , ELETROFORESE E DOSAGEM QUANTITATIVA                              ",202100120
IDENTIFICAÇÃO DE OLIGOSSACARÍDEOS E SIALOSSACARÍDEOS POR CROMATOGRAFIA (CAMADA DELGADA)                                                               ,202100138
"DOSAGEM QUANTITATIVA DE CARNITINA, PERFIL DE ACILCARNITINAS                                                                                           ",202100146
DOSAGEM QUANTITATIVA DE AMINOÁCIDOS                                                                                                                   ,202100154
DOSAGEM QUANTITATIVA DE ÁCIDOS ORGÂNICOS                                                                                                              ,202100162
ENSAIOS ENZIMÁTICOS NO PLASMA E LEUCÓCITOS PARA DIAGNÓSTICO DE ERROS INATOS DO METABOLISMO                                                            ,202100170
ENSAIOS ENZIMÁTICOS EM ERITRÓCITOS PARA DIAGNÓSTICO DE ERROS INATOS DO METABOLISMO                                                                    ,202100189
ENSAIOS ENZIMÁTICOS EM TECIDO CULTIVADO PARA DIAGNÓSTICO DE ERROS INATOS DO METABOLISMO                                                               ,202100197
DETECCAO DE VARIANTES DA HEMOGLOBINA (DIAGNOSTICO TARDIO)                                                                                             ,202110010
DETECCAO MOLECULAR DE MUTACAO EM HEMOGLOBINOPATIAS (CONFIRMATORIO)                                                                                    ,202110028
DETECCAO MOLECULAR EM FIBROSE CISTICA (CONFIRMATORIO)                                                                                                 ,202110036
DOSAGEM DE FENILALANINA (CONTROLE / DIAGNOSTICO TARDIO)                                                                                               ,202110044
DOSAGEM DE FENILALANINA E TSH OU T4                                                                                                                   ,202110052
DOSAGEM DE FENILALANINA TSH OU T4 E DETECCAO DA VARIANTE DE HEMOGLOBINA (COMPONENTE DO TESTE DO PEZINHO)                                              ,202110060
DOSAGEM DE TRIPSINA IMUNORREATIVA (COMPONENTE DO TESTE DO PEZINHO)                                                                                    ,202110079
DOSAGEM DE TSH E T4 LIVRE (CONTROLE / DIAGNOSTICO TARDIO)                                                                                             ,202110087
DOSAGEM DE 17 HIDROXI PROGESTERONA EM PAPEL DE FILTRO (COMPONENTE DO TESTE DO PEZINHO)                                                                ,202110095
DOSAGEM DA ATIVIDADE DA BIOTINIDASE EM AMOSTRAS DE SANGUE EM PAPEL DE FILTRO (COMPONENTE DO TESTE DO PEZINHO)                                         ,202110109
DOSAGEM QUANTITATIVA DA ATIVIDADE DA BIOTINIDASE EM AMOSTRAS DE SORO                                                                                  ,202110117
DETECÇÃO MOLECULAR DE MUTAÇÃO EM HIPERPLASIA ADRENAL CONGÊNITA                                                                                        ,202110125
DETECÇÃO MOLECULAR DE MUTAÇÃO EM DEFICIÊNCIA DE BIOTINIDASE                                                                                           ,202110133
DOSAGEM DE CLORETO NO SUOR                                                                                                                            ,202110141
DETERMINACAO DE ANTICORPOS ANTIPLAQUETARIOS                                                                                                           ,202120015
DETERMINACAO DIRETA E REVERSA DE GRUPO ABO                                                                                                            ,202120023
FENOTIPAGEM DE SISTEMA RH - HR                                                                                                                        ,202120031
IDENTIFICACAO DE ANTICORPOS SERICOS IRREGULARES C/ PAINEL DE HEMACIAS                                                                                 ,202120040
PESQUISA DE ANTICORPOS IRREGULARES PELO METODO DA ELUICAO                                                                                             ,202120058
PESQUISA DE ANTICORPOS SERICOS IRREGULARES 37OC                                                                                                       ,202120066
PESQUISA DE ANTICORPOS SERICOS IRREGULARES A FRIO                                                                                                     ,202120074
PESQUISA DE FATOR RH (INCLUI D FRACO)                                                                                                                 ,202120082
TESTE INDIRETO DE ANTIGLOBULINA HUMANA (TIA)                                                                                                          ,202120090
TITULACAO DE ANTICORPOS ANTI A E/OU ANTI B                                                                                                            ,202120104
EXAME CITOPATOLOGICO CERVICO-VAGINAL/MICROFLORA                                                                                                       ,203010019
EXAME CITOPATOLOGICO HORMONAL SERIADO (MINIMO 3 COLETAS)                                                                                              ,203010027
EXAME DE CITOLOGIA (EXCETO CERVICO-VAGINAL)                                                                                                           ,203010035
EXAME CITOPATOLOGICO DE MAMA                                                                                                                          ,203010043
CONTROLE DE QUALIDADE DO EXAME CITOPATOLÓGICO CERVICO VAGINAL                                                                                         ,203010078
EXAME CITOPATOLÓGICO CERVICO VAGINAL/MICROFLORA-RASTREAMENTO                                                                                          ,203010086
DETERMINACAO DE RECEPTORES TUMORAIS HORMONAIS                                                                                                         ,203020014
EXAME ANATOMO-PATOLOGICO DO COLO UTERINO - PECA CIRURGICA                                                                                             ,203020022
EXAME ANATOMO-PATOLÓGICO PARA CONGELAMENTO / PARAFINA POR PEÇA CIRURGICA OU POR BIOPSIA (EXCETO COLO UTERINO E MAMA)                                  ,203020030
IMUNOHISTOQUIMICA DE NEOPLASIAS MALIGNAS (POR MARCADOR)                                                                                               ,203020049
NECROPSIA                                                                                                                                             ,203020057
EXAME ANATOMOPATOLOGICO DE MAMA - BIOPSIA                                                                                                             ,203020065
EXAME ANATOMOPATOLOGICO DE MAMA - PECA CIRURGICA                                                                                                      ,203020073
EXAME ANATOMO-PATOLOGICO DO COLO UTERINO - BIOPSIA                                                                                                    ,203020081
DACRIOCISTOGRAFIA                                                                                                                                     ,204010012
PLANIGRAFIA DE LARINGE                                                                                                                                ,204010020
RADIOGRAFIA BILATERAL DE ORBITAS (PA + OBLIQUAS + HIRTZ)                                                                                              ,204010039
RADIOGRAFIA DE ARCADA ZIGOMATICO-MALAR (AP+ OBLIQUAS)                                                                                                 ,204010047
RADIOGRAFIA DE ARTICULACAO TEMPORO-MANDIBULAR BILATERAL                                                                                               ,204010055
RADIOGRAFIA DE CAVUM (LATERAL + HIRTZ)                                                                                                                ,204010063
RADIOGRAFIA DE CRANIO (PA + LATERAL + OBLIGUA / BRETTON + HIRTZ)                                                                                      ,204010071
RADIOGRAFIA DE CRANIO (PA + LATERAL)                                                                                                                  ,204010080
RADIOGRAFIA DE LARINGE                                                                                                                                ,204010098
RADIOGRAFIA DE MASTOIDE / ROCHEDOS (BILATERAL)                                                                                                        ,204010101
RADIOGRAFIA DE MAXILAR (PA + OBLIQUA)                                                                                                                 ,204010110
RADIOGRAFIA DE OSSOS DA FACE (MN + LATERAL + HIRTZ)                                                                                                   ,204010128
RADIOGRAFIA DE REGIAO ORBITARIA (LOCALIZACAO DE CORPO ESTRANHO)                                                                                       ,204010136
RADIOGRAFIA DE SEIOS DA FACE (FN + MN + LATERAL + HIRTZ)                                                                                              ,204010144
RADIOGRAFIA DE SELA TURSICA (PA + LATERAL + BRETTON)                                                                                                  ,204010152
RADIOGRAFIA OCLUSAL                                                                                                                                   ,204010160
RADIOGRAFIA PANORAMICA                                                                                                                                ,204010179
RADIOGRAFIA PERI-APICAL INTERPROXIMAL (BITE-WING)                                                                                                     ,204010187
SIALOGRAFIA (POR GLANDULA)                                                                                                                            ,204010195
TELERADIOGRAFIA COM TRACADOS E SEM TRACADOS                                                                                                           ,204010209
MIELOGRAFIA                                                                                                                                           ,204020018
PLANIGRAFIA DE COLUNA VERTEBRAL                                                                                                                       ,204020026
RADIOGRAFIA DE COLUNA CERVICAL (AP + LATERAL + TO + OBLIQUAS)                                                                                         ,204020034
RADIOGRAFIA DE COLUNA CERVICAL (AP + LATERAL + TO / FLEXAO)                                                                                           ,204020042
RADIOGRAFIA DE COLUNA CERVICAL FUNCIONAL / DINAMICA                                                                                                   ,204020050
RADIOGRAFIA DE COLUNA LOMBO-SACRA                                                                                                                     ,204020069
RADIOGRAFIA DE COLUNA LOMBO-SACRA (C/ OBLIQUAS)                                                                                                       ,204020077
RADIOGRAFIA DE COLUNA LOMBO-SACRA FUNCIONAL / DINAMICA                                                                                                ,204020085
RADIOGRAFIA DE COLUNA TORACICA (AP + LATERAL)                                                                                                         ,204020093
RADIOGRAFIA DE COLUNA TORACO-LOMBAR                                                                                                                   ,204020107
RADIOGRAFIA DE COLUNA TORACO-LOMBAR DINAMICA                                                                                                          ,204020115
RADIOGRAFIA DE REGIAO SACRO-COCCIGEA                                                                                                                  ,204020123
RADIOGRAFIA PANORAMICA DE COLUNA TOTAL- TELESPONDILOGRAFIA ( P/ ESCOLIOSE)                                                                            ,204020131
BRONCOGRAFIA UNILATERAL                                                                                                                               ,204030013
DUCTOGRAFIA (POR MAMA)                                                                                                                                ,204030021
MAMOGRAFIA                                                                                                                                            ,204030030
MARCACAO PRE-CIRURGICA DE LESAO NAO PALPAVEL DE MAMA ASSOCIADA A MAMOGRAFIA                                                                           ,204030048
RADIOGRAFIA DE CORACAO E VASOS DA BASE (PA + LATERAL + OBLIQUA)                                                                                       ,204030056
RADIOGRAFIA DE CORACAO E VASOS DA BASE (PA + LATERAL)                                                                                                 ,204030064
RADIOGRAFIA DE COSTELAS (POR HEMITORAX)                                                                                                               ,204030072
RADIOGRAFIA DE ESOFAGO                                                                                                                                ,204030080
RADIOGRAFIA DE ESTERNO                                                                                                                                ,204030099
RADIOGRAFIA DE MEDIASTINO (PA E PERFIL)                                                                                                               ,204030102
RADIOGRAFIA DE PNEUMOMEDIASTINO                                                                                                                       ,204030110
RADIOGRAFIA DE TORAX (APICO-LORDORTICA)                                                                                                               ,204030129
RADIOGRAFIA DE TORAX (PA + INSPIRACAO + EXPIRACAO + LATERAL)                                                                                          ,204030137
RADIOGRAFIA DE TORAX (PA + LATERAL + OBLIQUA)                                                                                                         ,204030145
RADIOGRAFIA DE TORAX (PA E PERFIL)                                                                                                                    ,204030153
RADIOGRAFIA DE TORAX (PA PADRAO OIT)                                                                                                                  ,204030161
RADIOGRAFIA DE TORAX (PA)                                                                                                                             ,204030170
MAMOGRAFIA BILATERAL PARA RASTREAMENTO                                                                                                                ,204030188
RADIOGRAFIA DE ANTEBRACO                                                                                                                              ,204040019
RADIOGRAFIA DE ARTICULACAO ACROMIO-CLAVICULAR                                                                                                         ,204040027
RADIOGRAFIA DE ARTICULACAO ESCAPULO-UMERAL                                                                                                            ,204040035
RADIOGRAFIA DE ARTICULACAO ESTERNO-CLAVICULAR                                                                                                         ,204040043
RADIOGRAFIA DE BRACO                                                                                                                                  ,204040051
RADIOGRAFIA DE CLAVICULA                                                                                                                              ,204040060
RADIOGRAFIA DE COTOVELO                                                                                                                               ,204040078
RADIOGRAFIA DE DEDOS DA MAO                                                                                                                           ,204040086
RADIOGRAFIA DE MAO                                                                                                                                    ,204040094
RADIOGRAFIA DE MAO E PUNHO (P/ DETERMINACAO DE IDADE OSSEA)                                                                                           ,204040108
RADIOGRAFIA DE ESCAPULA/OMBRO (TRES POSICOES)                                                                                                         ,204040116
RADIOGRAFIA DE PUNHO (AP + LATERAL + OBLIQUA)                                                                                                         ,204040124
CLISTER OPACO C/ DUPLO CONTRASTE                                                                                                                      ,204050014
COLANGIOGRAFIA PER-OPERATORIA                                                                                                                         ,204050022
COLANGIOGRAFIA POS-OPERATORIA                                                                                                                         ,204050030
DUODENOGRAFIA HIPOTONICA                                                                                                                              ,204050049
FISTULOGRAFIA                                                                                                                                         ,204050057
HISTEROSSALPINGOGRAFIA                                                                                                                                ,204050065
PIELOGRAFIA ANTEROGRADA PERCUTANEA                                                                                                                    ,204050073
PIELOGRAFIA ASCENDENTE                                                                                                                                ,204050081
PLANIGRAFIA DE RIM C/ CONTRASTE                                                                                                                       ,204050090
PLANIGRAFIA DE RIM S/ CONTRASTE                                                                                                                       ,204050103
RADIOGRAFIA DE ABDOMEN (AP + LATERAL / LOCALIZADA)                                                                                                    ,204050111
RADIOGRAFIA DE ABDOMEN AGUDO (MINIMO DE 3 INCIDENCIAS)                                                                                                ,204050120
RADIOGRAFIA DE ABDOMEN SIMPLES (AP)                                                                                                                   ,204050138
RADIOGRAFIA DE ESTOMAGO E DUODENO                                                                                                                     ,204050146
RADIOGRAFIA DE INTESTINO DELGADO (TRANSITO)                                                                                                           ,204050154
RADIOGRAFIA P/ ESTUDO DO DELGADO C/ DUPLO CONTRASTE (ENTEROCLISE)                                                                                     ,204050162
URETROCISTOGRAFIA                                                                                                                                     ,204050170
UROGRAFIA VENOSA                                                                                                                                      ,204050189
ARTROGRAFIA                                                                                                                                           ,204060010
DENSITOMETRIA OSSEA DUO-ENERGETICA DE COLUNA (VERTEBRAS LOMBARES E/OU FEMUR)                                                                          ,204060028
ESCANOMETRIA                                                                                                                                          ,204060036
PLANIGRAFIA DE OSSO - SUBSIDIARIA A OUTROS EXAMES (POR PLANO)                                                                                         ,204060044
PLANIGRAFIA DE OSSO EM 2 PLANOS                                                                                                                       ,204060052
RADIOGRAFIA DE ARTICULACAO COXO-FEMORAL                                                                                                               ,204060060
RADIOGRAFIA DE ARTICULACAO SACRO-ILIACA                                                                                                               ,204060079
RADIOGRAFIA DE ARTICULACAO TIBIO-TARSICA                                                                                                              ,204060087
RADIOGRAFIA DE BACIA                                                                                                                                  ,204060095
RADIOGRAFIA DE CALCANEO                                                                                                                               ,204060109
RADIOGRAFIA DE COXA                                                                                                                                   ,204060117
RADIOGRAFIA DE JOELHO (AP + LATERAL)                                                                                                                  ,204060125
RADIOGRAFIA DE JOELHO OU PATELA (AP + LATERAL + AXIAL)                                                                                                ,204060133
RADIOGRAFIA DE JOELHO OU PATELA (AP + LATERAL + OBLIQUA + 3 AXIAIS)                                                                                   ,204060141
RADIOGRAFIA DE PE / DEDOS DO PE                                                                                                                       ,204060150
RADIOGRAFIA DE PERNA                                                                                                                                  ,204060168
RADIOGRAFIA PANORAMICA DE MEMBROS INFERIORES                                                                                                          ,204060176
ECOCARDIOGRAFIA DE ESTRESSE                                                                                                                           ,205010016
ECOCARDIOGRAFIA TRANSESOFAGICA                                                                                                                        ,205010024
ECOCARDIOGRAFIA TRANSTORACICA                                                                                                                         ,205010032
ULTRASSONOGRAFIA DOPPLER COLORIDO DE VASOS                                                                                                            ,205010040
ULTRASSONOGRAFIA DOPPLER DE FLUXO OBSTETRICO                                                                                                          ,205010059
ECODOPPLER TRANSCRANIANO                                                                                                                              ,205020011
PAQUIMETRIA ULTRASSÔNICA                                                                                                                              ,205020020
ULTRASSONOGRAFIA DE ABDOMEN SUPERIOR                                                                                                                  ,205020038
ULTRASSONOGRAFIA DE ABDOMEN TOTAL                                                                                                                     ,205020046
ULTRASSONOGRAFIA DE APARELHO URINARIO                                                                                                                 ,205020054
ULTRASSONOGRAFIA DE ARTICULACAO                                                                                                                       ,205020062
ULTRASSONOGRAFIA DE BOLSA ESCROTAL                                                                                                                    ,205020070
ULTRASSONOGRAFIA DE GLOBO OCULAR / ORBITA (MONOCULAR)                                                                                                 ,205020089
ULTRASSONOGRAFIA MAMARIA BILATERAL                                                                                                                    ,205020097
ULTRASSONOGRAFIA DE PROSTATA POR VIA ABDOMINAL                                                                                                        ,205020100
ULTRASSONOGRAFIA DE PROSTATA (VIA TRANSRETAL)                                                                                                         ,205020119
ULTRASSONOGRAFIA DE TIREOIDE                                                                                                                          ,205020127
ULTRASSONOGRAFIA DE TORAX (EXTRACARDIACA)                                                                                                             ,205020135
ULTRASSONOGRAFIA OBSTETRICA                                                                                                                           ,205020143
ULTRASSONOGRAFIA OBSTETRICA C/ DOPPLER COLORIDO E PULSADO                                                                                             ,205020151
ULTRASSONOGRAFIA PELVICA (GINECOLOGICA)                                                                                                               ,205020160
ULTRASSONOGRAFIA TRANSFONTANELA                                                                                                                       ,205020178
ULTRASSONOGRAFIA TRANSVAGINAL                                                                                                                         ,205020186
MARCACAO DE LESAO PRE-CIRURGICA DE LESAO NAO PALPAVEL DE MAMA ASSOCIADA A ULTRASSONOGRAFIA                                                            ,205020194
TOMOGRAFIA COMPUTADORIZADA DE COLUNA CERVICAL C/ OU S/ CONTRASTE                                                                                      ,206010010
TOMOGRAFIA COMPUTADORIZADA DE COLUNA LOMBO-SACRA C/ OU S/ CONTRASTE                                                                                   ,206010028
TOMOGRAFIA COMPUTADORIZADA DE COLUNA TORACICA C/ OU S/ CONTRASTE                                                                                      ,206010036
TOMOGRAFIA COMPUTADORIZADA DE FACE / SEIOS DA FACE / ARTICULACOES TEMPORO-MANDIBULARES                                                                ,206010044
TOMOGRAFIA COMPUTADORIZADA DO PESCOCO                                                                                                                 ,206010052
TOMOGRAFIA COMPUTADORIZADA DE SELA TURCICA                                                                                                            ,206010060
TOMOGRAFIA COMPUTADORIZADA DO CRANIO                                                                                                                  ,206010079
TOMOMIELOGRAFIA COMPUTADORIZADA                                                                                                                       ,206010087
