nome,codigo
Síndrome de pseudo-Cushing induzida pelo álcool                                                     ,E244
Outra síndrome de Cushing                                                                           ,E248
Síndrome de Cushing não especificada                                                                ,E249
Transtornos adrenogenitais congênitos associados à deficiência enzimática                           ,E250
Outros transtornos adrenogenitais                                                                   ,E258
Transtorno adrenogenital não especificado                                                           ,E259
Hiperaldosteronismo primário                                                                        ,E260
Hiperaldosteronismo secundário                                                                      ,E261
Outro hiperaldosteronismo                                                                           ,E268
Hiperaldosteronismo não especificado                                                                ,E269
Outros excessos de atividade adrenocortical                                                         ,E270
Insuficiência adrenocortical primária                                                               ,E271
Crise addisoniana                                                                                   ,E272
Insuficiência adrenocortical induzida por drogas                                                    ,E273
Outras insuficiências adrenocorticais e as não especificadas                                        ,E274
Hiperfunção adrenomedular                                                                           ,E275
Outros transtornos especificados da supra-renal                                                     ,E278
Transtorno não especificado da supra-renal                                                          ,E279
Excesso de estrógeno                                                                                ,E280
Excesso de andrógenos                                                                               ,E281
Síndrome do ovário policístico                                                                      ,E282
Insuficiência ovariana primária                                                                     ,E283
Outra disfunção ovariana                                                                            ,E288
Disfunção ovariana não especificada                                                                 ,E289
Hiperfunção testicular                                                                              ,E290
Hipofunção testicular                                                                               ,E291
Outra disfunção testicular                                                                          ,E298
Disfunção testicular não especificada                                                               ,E299
Puberdade retardada                                                                                 ,E300
Puberdade precoce                                                                                   ,E301
Outros transtornos da puberdade                                                                     ,E308
Transtorno não especificado da puberdade                                                            ,E309
Insuficiência poliglandular auto-imune                                                              ,E310
Hiperfunção poliglandular                                                                           ,E311
Outra disfunção poliglandular                                                                       ,E318
Disfunção poliglandular não especificada                                                            ,E319
Hiperplasia persistente do timo                                                                     ,E320
Abscesso do timo                                                                                    ,E321
Outras doenças do timo                                                                              ,E328
Doença do timo não especificada                                                                     ,E329
Síndrome carcinóide                                                                                 ,E340
Outra hipersecreção de hormônios intestinais                                                        ,E341
"Secreção hormonal ectópica, não classificada em outra parte                                         ",E342
"Nanismo, não classificado em outra parte                                                            ",E343
Alta estatura constitucional                                                                        ,E344
Síndrome de resistência a andrógenos                                                                ,E345
Outros transtornos endócrinos especificados                                                         ,E348
Transtorno endócrino não especificado                                                               ,E349
Transtornos da glândula tireóide em doenças classificadas em outra parte                            ,E350
Transtornos das supra-renais em doenças classificadas em outra parte                                ,E351
Transtornos de outras glândulas endócrinas em doenças classificadas em outra parte                  ,E358
Kwashiorkor                                                                                         ,E40 
Marasmo nutricional                                                                                 ,E41 
Kwashiorkor marasmático                                                                             ,E42 
Desnutrição protéico-calórica grave não especificada                                                ,E43 
Desnutrição protéico-calórica moderada                                                              ,E440
Desnutrição protéico-calórica leve                                                                  ,E441
Atraso do desenvolvimento devido à desnutrição protéico-calórica                                    ,E45 
Desnutrição protéico-calórica não especificada                                                      ,E46 
Deficiência de vitamina a com xerose conjuntival                                                    ,E500
Deficiência de vitamina a com mancha de bitot e xerose conjuntival                                  ,E501
Deficiência de vitamina a com xerose da córnea                                                      ,E502
Deficiência de vitamina a com ulceração e xerose da córnea                                          ,E503
Deficiência de vitamina a com ceratomalácia                                                         ,E504
Deficiência de vitamina a com cegueira noturna                                                      ,E505
Deficiência de vitamina a com cicatrizes xeroftálmicas da córnea                                    ,E506
Outras manifestações oculares devidas a deficiência de vitamina a                                   ,E507
Outras manifestações devidas a deficiência de vitamina a                                            ,E508
Deficiência não especificada de vitamina a                                                          ,E509
Beribéri                                                                                            ,E511
Encefalopatia de wernicke                                                                           ,E512
Outras manifestações da deficiência de tiamina                                                      ,E518
Deficiência não especificada de tiamina                                                             ,E519
Deficiência de niacina [pelagra]                                                                    ,E52 
Deficiência de riboflavina                                                                          ,E530
Deficiência de piridoxina                                                                           ,E531
Deficiência de outras vitaminas especificadas do grupo B                                            ,E538
Deficiência não especificada de vitamina B                                                          ,E539
Deficiência de ácido ascórbico                                                                      ,E54 
Raquitismo ativo                                                                                    ,E550
Deficiência não especificada de vitamina D                                                          ,E559
Deficiência de vitamina E                                                                           ,E560
Deficiência de vitamina K                                                                           ,E561
Deficiência de outras vitaminas                                                                     ,E568
Deficiência vitamínica não especificada                                                             ,E569
Deficiência de cálcio da dieta                                                                      ,E58 
Deficiência de selênio da dieta                                                                     ,E59 
Deficiência de zinco da dieta                                                                       ,E60 
Deficiência de cobre                                                                                ,E610
Deficiência de ferro                                                                                ,E611
Deficiência de magnésio                                                                             ,E612
Deficiência de manganês                                                                             ,E613
Deficiência de cromo                                                                                ,E614
Deficiência de molibdênio                                                                           ,E615
Deficiência de vanádio                                                                              ,E616
Deficiência de múltiplos elementos nutrientes                                                       ,E617
Deficiência de outros elementos nutrientes especificados                                            ,E618
Deficiência de elementos nutrientes não especificados                                               ,E619
Deficiência de ácido graxo essencial                                                                ,E630
Desequilíbrio de constituintes da ingestão de alimentos                                             ,E631
Outras deficiências nutricionais especificadas                                                      ,E638
Deficiência nutricional não especificada                                                            ,E639
Seqüelas de desnutrição protéico-calórica                                                           ,E640
Seqüelas da deficiência de vitamina a                                                               ,E641
Seqüelas da deficiência de vitamina c                                                               ,E642
Seqüelas do raquitismo                                                                              ,E643
Seqüelas de outras deficiências nutricionais                                                        ,E648
Seqüelas de deficiência nutricional não especificada                                                ,E649
Adiposidade localizada                                                                              ,E65 
Obesidade devida a excesso de calorias                                                              ,E660
Obesidade induzida por drogas                                                                       ,E661
Obesidade extrema com hipoventilação alveolar                                                       ,E662
Outra obesidade                                                                                     ,E668
Obesidade não especificada                                                                          ,E669
Hipervitaminose A                                                                                   ,E670
Hipercarotenemia                                                                                    ,E671
Síndrome de megavitamina B6                                                                         ,E672
Hipervitaminose D                                                                                   ,E673
Outras formas especificadas de hiperalimentação                                                     ,E678
Seqüelas de hiperalimentação                                                                        ,E68 
Fenilcetonúria clássica                                                                             ,E700
Outras hiperfenilalaninemias                                                                        ,E701
Distúrbios do metabolismo da tirosina                                                               ,E702
Albinismo                                                                                           ,E703
Outros distúrbios do metabolismo de aminoácidos aromáticos                                          ,E708
Distúrbio não especificado do metabolismo de aminoácidos aromáticos                                 ,E709
Doença da urina em xarope de ácer (ou bordo) (maple-syrup urine disease)                            ,E710
Outros distúrbios do metabolismo de aminoácidos de cadeia ramificada                                ,E711
Distúrbio não especificado do metabolismo de aminoácidos de cadeia ramificada                       ,E712
Distúrbios do metabolismo de ácidos graxos                                                          ,E713
Distúrbios do transporte de aminoácidos                                                             ,E720
Distúrbios do metabolismo dos aminoácidos que contêm enxofre                                        ,E721
Distúrbios do metabolismo do ciclo da uréia                                                         ,E722
Distúrbios do metabolismo da lisina e da hidroxilisina                                              ,E723
Distúrbios do metabolismo da ornitina                                                               ,E724
Distúrbios do metabolismo da glicina                                                                ,E725
Outros distúrbios especificados do metabolismo dos aminoácidos                                      ,E728
Distúrbio não especificado do metabolismo dos aminoácidos                                           ,E729
Deficiência congênita de lactase                                                                    ,E730
Deficiência secundária de lactase                                                                   ,E731
Outras intolerâncias à lactose                                                                      ,E738
"Intolerância à lactose, não especificada                                                            ",E739
Doença de depósito de glicogênio                                                                    ,E740
Distúrbios do metabolismo da frutose                                                                ,E741
Distúrbios do metabolismo da galactose                                                              ,E742
Outros distúrbios da absorção intestinal de carboidratos                                            ,E743
Distúrbios do metabolismo do piruvato e da gliconeogênese                                           ,E744
Outros distúrbios especificados do metabolismo de carboidratos                                      ,E748
Distúrbio não especificado do metabolismo de carboidratos                                           ,E749
Gangliosidose GM2                                                                                   ,E750
Outras gangliosidoses                                                                               ,E751
Outras esfingolipidoses                                                                             ,E752
Esfingolipidose não especificada                                                                    ,E753
Lipofuscinose neuronal ceróide                                                                      ,E754
Outros distúrbios do depósito de lípides                                                            ,E755
Distúrbio não especificado do depósito de lípides                                                   ,E756
Mucopolissacaridose do tipo I                                                                       ,E760
Mucopolissacaridose do tipo II                                                                      ,E761
Outras mucopolissacaridoses                                                                         ,E762
Mucopolissacaridose não especificada                                                                ,E763
Outros distúrbios do metabolismo do glicosaminoglicano                                              ,E768
Distúrbio não especificado do metabolismo do glicosaminoglicano                                     ,E769
Defeitos na modificação pós-translacional de enzimas lisossômicas                                   ,E770
Defeitos na degradação das glicoproteínas                                                           ,E771
Outros distúrbios do metabolismo de glicoproteínas                                                  ,E778
Distúrbio não especificado do metabolismo de glicoproteínas                                         ,E779
Hipercolesterolemia pura                                                                            ,E780
Hipergliceridemia pura                                                                              ,E781
Hiperlipidemia mista                                                                                ,E782
Hiperquilomicronemia                                                                                ,E783
Outras hiperlipidemias                                                                              ,E784
Hiperlipidemia não especificada                                                                     ,E785
Deficiências de lipoproteínas                                                                       ,E786
Outros distúrbios do metabolismo de lipoproteínas                                                   ,E788
Distúrbio não especificado do metabolismo de lipoproteínas                                          ,E789
Hiperuricemia sem sinais de artrite inflamatória e de doença com tofos                              ,E790
Síndrome de lesch-nyhan                                                                             ,E791
Outros distúrbios do metabolismo da purina e pirimidina                                             ,E798
Distúrbio não especificado do metabolismo da purina e pirimidina                                    ,E799
Porfiria hereditária eritropoética                                                                  ,E800
Porfiria cutânea tardia                                                                             ,E801
Outras porfirias                                                                                    ,E802
Defeitos da catalase e da peroxidase                                                                ,E803
Síndrome de gilbert                                                                                 ,E804
Síndrome da crigler-najjar                                                                          ,E805
Outros distúrbios do metabolismo da bilirrubina                                                     ,E806
Distúrbio não especificado do metabolismo da bilirrubina                                            ,E807
Distúrbios do metabolismo do cobre                                                                  ,E830
Doença do metabolismo do ferro                                                                      ,E831
Distúrbios do metabolismo do zinco                                                                  ,E832
Distúrbios do metabolismo do fósforo                                                                ,E833
Distúrbios do metabolismo do magnésio                                                               ,E834
Distúrbios do metabolismo do cálcio                                                                 ,E835
Outros distúrbios do metabolismo mineral                                                            ,E838
Distúrbio não especificado do metabolismo mineral                                                   ,E839
Fibrose cística com manifestações pulmonares                                                        ,E840
Fibrose cística com manifestações intestinais                                                       ,E841
Fibrose cística com outras manifestações                                                            ,E848
Fibrose cística não especificada                                                                    ,E849
Amiloidose heredofamiliar não-neuropática                                                           ,E850
Amiloidose heredofamiliar neuropática                                                               ,E851
Amiloidose heredofamiliar não especificada                                                          ,E852
Amiloidose sistêmica secundária                                                                     ,E853
Amiloidose limitada a órgãos                                                                        ,E854
Outras amiloidoses                                                                                  ,E858
Amiloidose não especificada                                                                         ,E859
Depleção de volume                                                                                  ,E86 
Hiperosmolaridade e hipernatremia                                                                   ,E870
Hiposmolaridade e hiponatremia                                                                      ,E871
Acidose                                                                                             ,E872
Alcalose                                                                                            ,E873
Distúrbio misto do equilíbrio ácido-básico                                                          ,E874
Hiperpotassemia                                                                                     ,E875
Hipopotassemia                                                                                      ,E876
Sobrecarga de líquidos                                                                              ,E877
Outros transtornos do equilíbrio hidroeletrolítico não classificados em outra parte                 ,E878
Distúrbios do metabolismo das proteínas plasmáticas não classificados em outra parte                ,E880
Lipodistrofia não classificada em outra parte                                                       ,E881
Lipomatose não classificada em outra parte                                                          ,E882
Outros distúrbios especificados do metabolismo                                                      ,E888
Distúrbio metabólico não especificado                                                               ,E889
Hipotireoidismo pós-procedimento                                                                    ,E890
Hipoinsulinemia pós-procedimento                                                                    ,E891
Hipoparatireoidismo pós-procedimento                                                                ,E892
Hipopituitarismo pós-procedimento                                                                   ,E893
Insuficiência ovariana pós-procedimento                                                             ,E894
Hipofunção testicular pós-procedimento                                                              ,E895
Hipofunção adrenocortical(-medular) pós-procedimento                                                ,E896
Outros transtornos endócrinos e metabólicos pós-procedimento                                        ,E898
Transtornos endócrinos e metabólicos não especificados pós-procedimento                             ,E899
Transtornos nutricionais e metabólicos em doenças classificadas em outra parte                      ,E90 
Demência na doença de Alzheimer de início precoce                                                   ,F000
Demência na doença de Alzheimer de início tardio                                                    ,F001
"Demência na doença de Alzheimer, forma atípica ou mista                                             ",F002
Demência não especificada na doença de Alzheimer                                                    ,F009
Demência vascular de início agudo                                                                   ,F010
Demência por infartos múltiplos                                                                     ,F011
Demência vascular subcortical                                                                       ,F012
"Demência vascular mista, cortical e subcortical                                                     ",F013
Outra demência vascular                                                                             ,F018
Demência vascular não especificada                                                                  ,F019
Demência da doença de Pick                                                                          ,F020
Demência na doença de Creutzfeldt-Jakob                                                             ,F021
Demência na doença de Huntington                                                                    ,F022
Demência na doença de Parkinson                                                                     ,F023
Demência na doença pelo vírus da imunodeficiência humana [HIV]                                      ,F024
Demência em outras doenças especificadas classificadas em outra parte                               ,F028
Demência não especificada                                                                           ,F03 
Síndrome amnésica orgânica não induzida pelo álcool ou por outras substâncias psicoativas           ,F04 
"Delirium não superposto a uma demência, assim descrito                                              ",F050
Delirium superposto a uma demência                                                                  ,F051
Outro delírio                                                                                       ,F058
Delirium não especificado                                                                           ,F059
Alucinose orgânica                                                                                  ,F060
Estado catatônico orgânico                                                                          ,F061
Transtorno delirante orgânico [tipo esquizofrênico]                                                 ,F062
Transtornos do humor [afetivos] orgânicos                                                           ,F063
Transtornos da ansiedade orgânicos                                                                  ,F064
Transtorno dissociativo orgânico                                                                    ,F065
Transtorno de labilidade emocional [astênico] orgânico                                              ,F066
Transtorno cognitivo leve                                                                           ,F067
Outros transtornos mentais especif. devidos a uma lesão e disfunção cerebral e a uma doença física  ,F068
Transtorno mental não especificado devido a uma lesão e disfunção cerebral e a uma doença física    ,F069
Transtorno orgânico da personalidade                                                                ,F070
Síndrome pós-encefalítica                                                                           ,F071
Síndrome pós-traumática                                                                             ,F072
"Outros transtornos orgânicos da person. e comport. devidos a doença cerebral, lesão e disfunção     ",F078
"Transtorno orgânico não especif. da person. e comport. devido a doença cerebral, lesão e disfunção  ",F079
Transtorno mental orgânico ou sintomático não especificado                                          ,F09 
Transtornos mentais e comport. devidos uso de álcool - intoxicação aguda                            ,F100
Transtornos mentais e comport. devidos uso de álcool - uso nocivo para a saúde                      ,F101
Transtornos mentais e comport. devidos uso de álcool - síndrome de dependência                      ,F102
Transtornos mentais e comport. devidos uso de álcool - síndrome [estado] de abstinência             ,F103
Transtornos mentais e comport. devidos uso de álcool - síndrome de abstinência com delírio          ,F104
Transtornos mentais e comport. devidos uso de álcool - transtorno psicótico                         ,F105
Transtornos mentais e comport. devidos uso de álcool - síndrome amnésica                            ,F106
Transtornos mentais e comport. devidos uso de álcool - transt. psicót. residual ou de instal. tardia,F107
Transtornos mentais e comport. devidos uso de álcool - outros transtornos mentais ou comportamentais,F108
Transtornos mentais e comport. devidos uso de álcool - transtorno mental ou comport. ñ especificado ,F109
Transtornos mentais e comport. dev. uso de opiáceos - intoxicação aguda                             ,F110
Transtornos mentais e comport. dev. uso de opiáceos - uso nocivo para a saúde                       ,F111
Transtornos mentais e comport. dev. uso de opiáceos - síndrome de dependência                       ,F112
Transtornos mentais e comport. dev. uso de opiáceos - síndrome [estado] de abstinência              ,F113
Transtornos mentais e comport. dev. uso de opiáceos - síndrome de abstin. com delírio               ,F114
Transtornos mentais e comport. dev. uso de opiáceos - transtorno psicótico                          ,F115
Transtornos mentais e comport. dev. uso de opiáceos - síndrome amnésica                             ,F116
Transtornos mentais e comport. dev. uso de opiáceos - transt. psicót. residual ou de instal. tardia ,F117
Transtornos mentais e comport. dev. uso de opiáceos - outros transtornos mentais ou comportamentais ,F118
Transtornos mentais e comport. dev. uso de opiáceos - transtorno mental ou comport. ñ especificado  ,F119
Transtornos mentais e comport. dev. uso canabinóides - intoxicação aguda                            ,F120
Transtornos mentais e comport. dev. uso canabinóides - uso nocivo para a saúde                      ,F121
Transtornos mentais e comport. dev. uso canabinóides - síndrome de dependência                      ,F122
Transtornos mentais e comport. dev. uso canabinóides - síndrome [estado] de abstinência             ,F123
Transtornos mentais e comport. dev. uso canabinóides - síndrome de abstinência com delírio          ,F124
Transtornos mentais e comport. dev. uso canabinóides - transtorno psicótico                         ,F125
Transtornos mentais e comport. dev. uso canabinóides - síndrome amnésica                            ,F126
Transtornos mentais e comport. dev. uso canabinóides - transt. psicót. residual ou de instal. tardia,F127
Transtornos mentais e comport. dev. uso canabinóides - outros transtornos mentais ou comportamentais,F128
Transtornos mentais e comport. dev. uso canabinóides - transtorno mental ou comport. ñ especificado ,F129
Transtornos mentais e comport. dev. uso sedat./hipnót. - intoxicação aguda                          ,F130
Transtornos mentais e comport. dev. uso sedat./hipnót. - uso nocivo para a saúde                    ,F131
Transtornos mentais e comport. dev. uso sedat./hipnót. - síndrome de dependência                    ,F132
Transtornos mentais e comport. dev. uso sedat./hipnót. - síndrome [estado] de abstinência           ,F133
Transtornos mentais e comport. dev. uso sedat./hipnót. - síndrome de abstinência com delírio        ,F134
Transtornos mentais e comport. dev. uso sedat./hipnót. - transtorno psicótico                       ,F135
Transtornos mentais e comport. dev. uso sedat./hipnót. - síndrome amnésica                          ,F136
Transtornos mentais e comport. dev. uso sedat./hipnót. - transt. psicót. residual ou instal. tardia ,F137
Transtornos mentais e comport. dev. uso sedat./hipnót. - outr. transtornos mentais/comportamentais  ,F138
Transtornos mentais e comport. dev. uso sedat./hipnót. - transt. mental ou comport. ñ especificado  ,F139
Transtornos mentais e comport. dev. uso cocaína - intoxicação aguda                                 ,F140
Transtornos mentais e comport. dev. uso cocaína - uso nocivo para a saúde                           ,F141
Transtornos mentais e comport. dev. uso cocaína - síndrome de dependência                           ,F142
Transtornos mentais e comport. dev. uso cocaína - síndrome [estado] de abstinência                  ,F143
Transtornos mentais e comport. dev. uso cocaína - síndrome de abstinência c/ delírio                ,F144
Transtornos mentais e comport. dev. uso cocaína - transtorno psicótico                              ,F145
Transtornos mentais e comport. dev. uso cocaína - síndrome amnésica                                 ,F146
Transtornos mentais e comport. dev. uso cocaína - transt. psicótico residual ou de instalação tardia,F147
Transtornos mentais e comport. dev. uso cocaína - outros transtornos mentais ou comportamentais     ,F148
Transtornos mentais e comport. dev. uso cocaína - transtorno mental ou comportamental ñ especificado,F149
"Transtornos mentais e comport. dev. uso estimul., incl. cafeína - intoxicação aguda                 ",F150
"Transtornos mentais e comport. dev. uso estimul., incl. cafeína - uso nocivo para a saúde           ",F151
"Transtornos mentais e comport. dev. uso estimul., incl. cafeína - síndrome de dependência           ",F152
"Transtornos mentais e comport. dev. uso estimul., incl. cafeína - síndrome de abstinência           ",F153
"Transtornos mentais e comport. dev. uso estimul., incl. cafeína - síndrome de abstin. c/delírio     ",F154
"Transtornos mentais e comport. dev. uso estimul., incl. cafeína - transtorno psicótico              ",F155
"Transtornos mentais e comport. dev. uso estimul., incl. cafeína - síndrome amnésica                 ",F156
"Transtornos mentais e comport. dev. uso estimul., incl. cafeína - transt. psic. residual/inst.tardia",F157
"Transtornos mentais e comport. dev. uso estimul., incl. cafeína - out. transt. mentais ou comportam.",F158
"Transtornos mentais e comport. dev. uso estimul., incl. cafeína - transt. mental/comport. ñ especif.",F159
Transtornos mentais e comport. dev. uso alucinógenos - intoxicação aguda                            ,F160
Transtornos mentais e comport. dev. uso alucinógenos - uso nocivo para a saúde                      ,F161
Transtornos mentais e comport. dev. uso alucinógenos - síndrome de dependência                      ,F162
Transtornos mentais e comport. dev. uso alucinógenos - síndrome de abstinência                      ,F163
Transtornos mentais e comport. dev. uso alucinógenos - síndrome de abstinência com delírio          ,F164
Transtornos mentais e comport. dev. uso alucinógenos - transtorno psicótico                         ,F165
Transtornos mentais e comport. dev. uso alucinógenos - síndrome amnésica                            ,F166
Transtornos mentais e comport. dev. uso alucinógenos - transt. psicótico resid. ou de instal. tardia,F167
Transtornos mentais e comport. dev. uso alucinógenos - outros transt. mentais ou comportamentais    ,F168
Transtornos mentais e comport. dev. uso alucinógenos - transt. mental ou comport. não especificado  ,F169
Transtornos mentais e comport. dev. uso fumo - intoxicação aguda                                    ,F170
Transtornos mentais e comport. dev. uso fumo - uso nocivo para a saúde                              ,F171
Transtornos mentais e comport. dev. uso fumo - síndrome de dependência                              ,F172
Transtornos mentais e comport. dev. uso fumo - síndrome [estado] de abstinência                     ,F173
Transtornos mentais e comport. dev. uso fumo - síndrome de abstinência com delírio                  ,F174
Transtornos mentais e comport. dev. uso fumo - transtorno psicótico                                 ,F175
Transtornos mentais e comport. dev. uso fumo - síndrome amnésica                                    ,F176
Transtornos mentais e comport. dev. uso fumo - transtorno psicótico residual ou de instalação tardia,F177
Transtornos mentais e comport. dev. uso fumo - outros transtornos mentais ou comportamentais        ,F178
Transtornos mentais e comport. dev. uso fumo - transtorno mental ou comportamental não especificado ,F179
Transtornos mentais e comport. dev. uso solventes voláteis - intoxicação aguda                      ,F180
Transtornos mentais e comport. dev. uso solventes voláteis - uso nocivo para a saúde                ,F181
Transtornos mentais e comport. dev. uso solventes voláteis - síndrome de dependência                ,F182
Transtornos mentais e comport. dev. uso solventes voláteis - síndrome [estado] de abstinência       ,F183
Transtornos mentais e comport. dev. uso solventes voláteis - síndrome de abstinência com delírio    ,F184
Transtornos mentais e comport. dev. uso solventes voláteis - transtorno psicótico                   ,F185
Transtornos mentais e comport. dev. uso solventes voláteis - síndrome amnésica                      ,F186
Transtornos mentais e comport. dev. uso solventes voláteis - transt. psic. resid. ou de inst. tardia,F187
Transtornos mentais e comport. dev. uso solventes voláteis - out. transt. mentais ou comportamentais,F188
Transtornos mentais e comport. dev. uso solventes voláteis - transt. mental ou comport. não especif.,F189
Transt. mentais/comport. dev. uso múlt. drogas/out. psicoativas - intoxicação aguda                 ,F190
Transt. mentais/comport. dev. uso múlt. drogas/out. psicoativas - uso nocivo para a saúde           ,F191
Transt. mentais/comport. dev. uso múlt. drogas/out. psicoativas - síndrome de dependência           ,F192
Transt. mentais/comport. dev. uso múlt. drogas/out. psicoativas - síndrome de abstinência           ,F193
Transt. mentais/comport. dev. uso múlt. drogas/out. psicoativas - síndrome de abstinência c/ delírio,F194
Transt. mentais/comport. dev. uso múlt. drogas/out. psicoativas - transtorno psicótico              ,F195
Transt. mentais/comport. dev. uso múlt. drogas/out. psicoativas - síndrome amnésica                 ,F196
Transt. mentais/comport. dev. uso múlt. drogas/out. psicoativas - transt. psic. resid./inst. tardia ,F197
Transt. mentais/comport. dev. uso múlt. drogas/out. psicoativas - out. transt. mentais/comportament.,F198
Transt. mentais/comport. dev. uso múlt. drogas/out. psicoativas - transt. mental/comport. ñ especif.,F199
Esquizofrenia paranóide                                                                             ,F200
Esquizofrenia hebefrênica                                                                           ,F201
Esquizofrenia catatônica                                                                            ,F202
Esquizofrenia indiferenciada                                                                        ,F203
Depressão pós-esquizofrênica                                                                        ,F204
Esquizofrenia residual                                                                              ,F205
Esquizofrenia simples                                                                               ,F206
Outras esquizofrenias                                                                               ,F208
Esquizofrenia não especificada                                                                      ,F209
Transtorno esquizotípico                                                                            ,F21 
Transtorno delirante                                                                                ,F220
Outros transtornos delirantes persistentes                                                          ,F228
Transtorno delirante persistente não especificado                                                   ,F229
"Transtorno psicótico agudo polimorfo, sem sintomas esquizofrênicos                                  ",F230
"Transtorno psicótico agudo polimorfo, com sintomas esquizofrênicos                                  ",F231
Transtorno psicótico agudo de tipo esquizofrênico (schizophrenia-like)                              ,F232
"Outros transtornos psicóticos agudos, essencialmente delirantes                                     ",F233
Outros transtornos psicóticos agudos e transitórios                                                 ,F238
Transtorno psicótico agudo e transitório não especificado                                           ,F239
Transtorno delirante induzido                                                                       ,F24 
Transtorno esquizoafetivo do tipo maníaco                                                           ,F250
Transtorno esquizoafetivo do tipo depressivo                                                        ,F251
Transtorno esquizoafetivo do tipo misto                                                             ,F252
Outros transtornos esquizoafetivos                                                                  ,F258
Transtorno esquizoafetivo não especificado                                                          ,F259
Outros transtornos psicóticos não-orgânicos                                                         ,F28 
Psicose não-orgânica não especificada                                                               ,F29 
Hipomania                                                                                           ,F300
Mania sem sintomas psicóticos                                                                       ,F301
Mania com sintomas psicóticos                                                                       ,F302
Outros episódios maníacos                                                                           ,F308
Episódio maníaco não especificado                                                                   ,F309
"Transtorno afetivo bipolar, episódio atual hipomaníaco                                              ",F310
"Transtorno afetivo bipolar, episódio atual maníaco sem sintomas psicóticos                          ",F311
"Transtorno afetivo bipolar, episódio atual maníaco com sintomas psicóticos                          ",F312
"Transtorno afetivo bipolar, episódio atual depressivo leve ou moderado                              ",F313
"Transtorno afetivo bipolar, episódio atual depressivo grave sem sintomas psicóticos                 ",F314
"Transtorno afetivo bipolar, episódio atual depressivo grave com sintomas psicóticos                 ",F315
"Transtorno afetivo bipolar, episódio atual misto                                                    ",F316
"Transtorno afetivo bipolar, atualmente em remissão                                                  ",F317
Outros transtornos afetivos bipolares                                                               ,F318
Transtorno afetivo bipolar não especificado                                                         ,F319
Episódio depressivo leve                                                                            ,F320
Episódio depressivo moderado                                                                        ,F321
Episódio depressivo grave sem sintomas psicóticos                                                   ,F322
Episódio depressivo grave com sintomas psicóticos                                                   ,F323
Outros episódios depressivos                                                                        ,F328
Episódio depressivo não especificado                                                                ,F329
